data,valor
01/1980,"0,8592"
02/1980,"0,8651"
03/1980,"0,8526"
04/1980,"0,8435"
05/1980,"0,852"
06/1980,"0,8684"
07/1980,"0,8682"
08/1980,"0,8627"
09/1980,"0,8587"
10/1980,"0,8554"
11/1980,"0,8431"
12/1980,"0,8356"
01/1981,"0,8398"
02/1981,"0,8342"
03/1981,"0,8395"
04/1981,"0,8398"
05/1981,"0,8327"
06/1981,"0,8306"
07/1981,"0,8255"
08/1981,"0,8178"
09/1981,"0,8329"
10/1981,"0,8314"
11/1981,"0,8422"
12/1981,"0,8438"
01/1982,"0,8386"
02/1982,"0,8237"
03/1982,"0,8194"
04/1982,"0,8165"
05/1982,"0,8108"
06/1982,"0,7843"
07/1982,"0,7876"
08/1982,"0,8033"
09/1982,"0,8099"
10/1982,"0,8131"
11/1982,"0,8154"
12/1982,"0,8076"
01/1983,"0,8141"
02/1983,"0,8148"
03/1983,"0,8155"
04/1983,"0,8116"
05/1983,"0,8139"
06/1983,"0,8116"
07/1983,"0,8114"
08/1983,"0,8106"
09/1983,"0,8114"
10/1983,"0,8118"
11/1983,"0,8086"
12/1983,"0,802"
01/1984,"0,8011"
02/1984,"0,8013"
03/1984,"0,7874"
04/1984,"0,7816"
05/1984,"0,7723"
06/1984,"0,767"
07/1984,"0,7553"
08/1984,"0,7672"
09/1984,"0,7609"
10/1984,"0,7583"
11/1984,"0,7597"
12/1984,"0,7575"
01/1985,"0,7554"
02/1985,"0,7394"
03/1985,"0,7229"
04/1985,"0,7327"
05/1985,"0,7269"
06/1985,"0,7314"
07/1985,"0,7394"
08/1985,"0,7368"
09/1985,"0,7298"
10/1985,"0,7318"
11/1985,"0,7265"
12/1985,"0,7169"
01/1986,"0,711"
02/1986,"0,7126"
03/1986,"0,7139"
04/1986,"0,7207"
05/1986,"0,7271"
06/1986,"0,7196"
07/1986,"0,7243"
08/1986,"0,7202"
09/1986,"0,721"
10/1986,"0,7203"
11/1986,"0,7215"
12/1986,"0,7247"
01/1987,"0,7352"
02/1987,"0,7497"
03/1987,"0,7581"
04/1987,"0,7583"
05/1987,"0,7456"
06/1987,"0,7471"
07/1987,"0,7543"
08/1987,"0,7544"
09/1987,"0,7603"
10/1987,"0,7637"
11/1987,"0,7598"
12/1987,"0,7649"
01/1988,"0,7781"
02/1988,"0,7887"
03/1988,"0,8006"
04/1988,"0,8097"
05/1988,"0,8085"
06/1988,"0,8215"
07/1988,"0,8283"
08/1988,"0,8169"
09/1988,"0,8154"
10/1988,"0,8297"
11/1988,"0,8216"
12/1988,"0,8361"
01/1989,"0,8394"
02/1989,"0,8411"
03/1989,"0,8366"
04/1989,"0,8414"
05/1989,"0,8385"
06/1989,"0,8345"
07/1989,"0,8412"
08/1989,"0,8508"
09/1989,"0,8456"
10/1989,"0,8512"
11/1989,"0,855"
12/1989,"0,8612"
01/1990,"0,8538"
02/1990,"0,8358"
03/1990,"0,8476"
04/1990,"0,8592"
05/1990,"0,8514"
06/1990,"0,8527"
07/1990,"0,8644"
08/1990,"0,8738"
09/1990,"0,8635"
10/1990,"0,8623"
11/1990,"0,8598"
12/1990,"0,862"
01/1991,"0,8651"
02/1991,"0,8661"
03/1991,"0,8644"
04/1991,"0,8671"
05/1991,"0,8698"
06/1991,"0,8743"
07/1991,"0,8702"
08/1991,"0,8736"
09/1991,"0,8797"
10/1991,"0,8866"
11/1991,"0,8847"
12/1991,"0,8729"
01/1992,"0,8648"
02/1992,"0,8457"
03/1992,"0,8385"
04/1992,"0,8421"
05/1992,"0,834"
06/1992,"0,8362"
07/1992,"0,8391"
08/1992,"0,8397"
09/1992,"0,8183"
10/1992,"0,8032"
11/1992,"0,7887"
12/1992,"0,7857"
01/1993,"0,7828"
02/1993,"0,7938"
03/1993,"0,802"
04/1993,"0,7924"
05/1993,"0,7876"
06/1993,"0,782"
07/1993,"0,7802"
08/1993,"0,7642"
09/1993,"0,7569"
10/1993,"0,7541"
11/1993,"0,7589"
12/1993,"0,7515"
01/1994,"0,7591"
02/1994,"0,7451"
03/1994,"0,733"
04/1994,"0,7234"
05/1994,"0,7243"
06/1994,"0,7227"
07/1994,"0,7234"
08/1994,"0,7259"
09/1994,"0,7388"
10/1994,"0,7407"
11/1994,"0,7327"
12/1994,"0,7203"
01/1995,"0,7078"
02/1995,"0,714"
03/1995,"0,7106"
04/1995,"0,7269"
05/1995,"0,7349"
06/1995,"0,7261"
07/1995,"0,7348"
08/1995,"0,7381"
09/1995,"0,7404"
10/1995,"0,7433"
11/1995,"0,739"
12/1995,"0,7302"
01/1996,"0,7318"
02/1996,"0,727"
03/1996,"0,7324"
04/1996,"0,7358"
05/1996,"0,7306"
06/1996,"0,7323"
07/1996,"0,7305"
08/1996,"0,729"
09/1996,"0,7303"
10/1996,"0,7404"
11/1996,"0,7472"
12/1996,"0,7343"
01/1997,"0,7416"
02/1997,"0,7379"
03/1997,"0,729"
04/1997,"0,7174"
05/1997,"0,7244"
06/1997,"0,7226"
07/1997,"0,7262"
08/1997,"0,7192"
09/1997,"0,721"
10/1997,"0,7212"
11/1997,"0,7076"
12/1997,"0,7008"
01/1998,"0,6941"
02/1998,"0,6974"
03/1998,"0,7061"
04/1998,"0,6994"
05/1998,"0,6921"
06/1998,"0,6825"
07/1998,"0,6723"
08/1998,"0,6515"
09/1998,"0,6574"
10/1998,"0,6472"
11/1998,"0,6497"
12/1998,"0,6485"
01/1999,"0,6583"
02/1999,"0,6677"
03/1999,"0,659"
04/1999,"0,6724"
05/1999,"0,684"
06/1999,"0,6807"
07/1999,"0,6718"
08/1999,"0,6701"
09/1999,"0,6772"
10/1999,"0,676"
11/1999,"0,6814"
12/1999,"0,6788"
01/2000,"0,6902"
02/2000,"0,6892"
03/2000,"0,6847"
04/2000,"0,681"
05/2000,"0,6687"
06/2000,"0,6771"
07/2000,"0,6767"
08/2000,"0,6762"
09/2000,"0,6729"
10/2000,"0,6613"
11/2000,"0,6484"
12/2000,"0,6569"
01/2001,"0,6653"
02/2001,"0,6574"
03/2001,"0,6419"
04/2001,"0,6421"
05/2001,"0,6488"
06/2001,"0,656"
07/2001,"0,6535"
08/2001,"0,6493"
09/2001,"0,6379"
10/2001,"0,6365"
11/2001,"0,628"
12/2001,"0,634"
01/2002,"0,6249"
02/2002,"0,6266"
03/2002,"0,6301"
04/2002,"0,6324"
05/2002,"0,6454"
06/2002,"0,6529"
07/2002,"0,647"
08/2002,"0,6378"
09/2002,"0,6346"
10/2002,"0,6338"
11/2002,"0,6415"
12/2002,"0,6412"
01/2003,"0,649"
02/2003,"0,6613"
03/2003,"0,6776"
04/2003,"0,6857"
05/2003,"0,7224"
06/2003,"0,7395"
07/2003,"0,724"
08/2003,"0,7163"
09/2003,"0,7336"
10/2003,"0,7566"
11/2003,"0,7619"
12/2003,"0,7618"
01/2004,"0,7718"
02/2004,"0,7525"
03/2004,"0,7529"
04/2004,"0,7441"
05/2004,"0,7252"
06/2004,"0,7366"
07/2004,"0,756"
08/2004,"0,7618"
09/2004,"0,7766"
10/2004,"0,8052"
11/2004,"0,8367"
12/2004,"0,8206"
01/2005,"0,8156"
02/2005,"0,8071"
03/2005,"0,8203"
04/2005,"0,8084"
05/2005,"0,7962"
06/2005,"0,8073"
07/2005,"0,8169"
08/2005,"0,8309"
09/2005,"0,849"
10/2005,"0,8496"
11/2005,"0,8467"
12/2005,"0,8614"
01/2006,"0,864"
02/2006,"0,8706"
03/2006,"0,8618"
04/2006,"0,8756"
05/2006,"0,9009"
06/2006,"0,8982"
07/2006,"0,8856"
08/2006,"0,8943"
09/2006,"0,8959"
10/2006,"0,8861"
11/2006,"0,8808"
12/2006,"0,8677"
01/2007,"0,8504"
02/2007,"0,8542"
03/2007,"0,857"
04/2007,"0,8812"
05/2007,"0,9135"
06/2007,"0,9386"
07/2007,"0,9521"
08/2007,"0,9445"
09/2007,"0,9768"
10/2007,"1,0254"
11/2007,"1,0323"
12/2007,"0,9961"
01/2008,"0,9878"
02/2008,"1,0009"
03/2008,"0,998"
04/2008,"0,987"
05/2008,"1,0016"
06/2008,"0,9835"
07/2008,"0,9875"
08/2008,"0,9484"
09/2008,"0,9449"
10/2008,"0,8441"
11/2008,"0,821"
12/2008,"0,81"
01/2009,"0,8155"
02/2009,"0,8031"
03/2009,"0,7772"
04/2009,"0,8176"
05/2009,"0,8689"
06/2009,"0,8888"
07/2009,"0,8923"
08/2009,"0,9189"
09/2009,"0,924"
10/2009,"0,948"
11/2009,"0,9438"
12/2009,"0,9484"
01/2010,"0,9588"
02/2010,"0,9462"
03/2010,"0,9775"
04/2010,"0,9948"
05/2010,"0,9619"
06/2010,"0,9635"
07/2010,"0,9594"
08/2010,"0,9598"
09/2010,"0,968"
10/2010,"0,9823"
11/2010,"0,9874"
12/2010,"0,9916"
01/2011,"1,0054"
02/2011,"1,0118"
03/2011,"1,0243"
04/2011,"1,0435"
05/2011,"1,0302"
06/2011,"1,0238"
07/2011,"1,0466"
08/2011,"1,0175"
09/2011,"0,9971"
10/2011,"0,9799"
11/2011,"0,977"
12/2011,"0,9764"
01/2012,"0,9871"
02/2012,"1,0034"
03/2012,"1,0062"
04/2012,"1,0074"
05/2012,"0,9909"
06/2012,"0,9727"
07/2012,"0,9862"
08/2012,"1,0079"
09/2012,"1,0223"
10/2012,"1,0143"
11/2012,"1,0031"
12/2012,"1,0104"
01/2013,"1,008"
02/2013,"0,9901"
03/2013,"0,9758"
04/2013,"0,9811"
05/2013,"0,9811"
06/2013,"0,9714"
07/2013,"0,962"
08/2013,"0,9607"
09/2013,"0,9669"
10/2013,"0,9652"
11/2013,"0,9541"
12/2013,"0,9398"
01/2014,"0,9141"
02/2014,"0,9046"
03/2014,"0,9"
04/2014,"0,9098"
05/2014,"0,9178"
06/2014,"0,9222"
07/2014,"0,9183"
08/2014,"0,9151"
09/2014,"0,9081"
10/2014,"0,8919"
11/2014,"0,8829"
12/2014,"0,8674"
01/2015,"0,8235"
02/2015,"0,7997"
03/2015,"0,7925"
04/2015,"0,811"
05/2015,"0,8211"
06/2015,"0,809"
07/2015,"0,776"
08/2015,"0,7606"
09/2015,"0,7538"
10/2015,"0,765"
11/2015,"0,7533"
12/2015,"0,7297"
01/2016,"0,7038"
02/2016,"0,7248"
03/2016,"0,7561"
04/2016,"0,7801"
05/2016,"0,773"
06/2016,"0,776"
07/2016,"0,7656"
08/2016,"0,7696"
09/2016,"0,7629"
10/2016,"0,7546"
11/2016,"0,7445"
